Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Luke Voit,Cardinals,70,287,258,66,10,2,10,32,34,21,63,5,0,0,0.256,0.321,0.426,0.747,0.319,0,-0.2,0.2,661.5,14811
Salvador Perez,Royals,135,575,544,147,24,1,25,68,77,21,111,6,0,0,0.27,0.303,0.456,0.758,0.318,3,-0.3,3,97.3,7304
Rougned Odor,Rangers,150,616,571,143,25,5,28,76,80,32,133,9,15,5,0.25,0.299,0.459,0.758,0.318,-1,0.6,1.7,106.1,12282
Michael Taylor,Nationals,132,535,495,127,24,3,21,63,67,36,164,2,23,5,0.257,0.308,0.444,0.753,0.317,10,2.2,2.5,222.2,11489
Josh Harrison,Pirates,140,613,563,157,29,4,11,59,60,31,92,14,14,4,0.279,0.33,0.403,0.733,0.316,3,0.7,2.1,265.8,8202
Tim Anderson,White Sox,146,604,579,158,32,10,16,63,69,20,148,4,19,4,0.273,0.301,0.446,0.747,0.316,2,1.8,2.9,197.7,15172
Guillermo Heredia,Mariners,93,338,299,81,15,1,5,42,38,26,50,9,4,2,0.271,0.343,0.378,0.721,0.316,1,-0.3,0.9,671.1,18721
Albert Almora Jr.,Cubs,134,544,507,144,27,3,11,52,56,29,89,2,3,1,0.284,0.322,0.414,0.736,0.315,5,-0.2,1.7,375.3,14109
Mitch Garver,Twins,56,219,190,47,9,0,5,25,25,25,55,2,1,0,0.247,0.338,0.374,0.712,0.314,0,0,0.9,564,15161
Jason Heyward,Cubs,134,538,483,126,22,3,11,52,58,50,74,3,10,2,0.261,0.333,0.387,0.72,0.313,12,0.8,1.7,407.8,4940
Nick Markakis,Braves,148,624,554,150,32,1,8,55,63,62,103,4,1,1,0.271,0.346,0.375,0.722,0.313,-2,-0.6,0.3,437.8,5930
Starlin Castro,Marlins,142,608,576,163,23,1,18,61,70,24,112,4,5,2,0.283,0.314,0.42,0.734,0.312,-7,-0.2,0.8,276.3,4579
Tyler Wade,Yankees,69,248,223,58,9,3,4,31,28,22,57,2,12,3,0.26,0.331,0.381,0.712,0.311,1,1,0.9,659.9,15730
Brandon Crawford,Giants,154,621,552,141,33,5,14,60,65,55,116,6,5,2,0.255,0.325,0.409,0.735,0.311,10,-0.2,3.1,334.4,5343
