Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Brett Oberholtzer,Angels,0,0,4.46,0,1,0,1,1,0,0,1,0,1.36,6.35,2.86,4.77,0,0,999,3855
Ryan Verdugo,,0,0,4.64,0,0,0,1,1,1,0,1,0,1.42,7.21,3.48,4.77,0,0,999,9154
Chris Thomas,,0,0,4.72,0,1,0,1,1,1,0,1,0,1.4,7.62,3.39,4.77,0,0,999,sa659320
Ariel Hernandez,Reds,1,2,4.49,0,30,0,30,25,15,4,35,22,1.59,10.39,6.71,4.77,0,0,999,15603
Kyle Lotzkar,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.47,8.08,4.34,4.78,0,0,999,sa389930
Eric Carter,Cardinals,0,0,4.69,0,1,0,1,1,1,0,1,0,1.46,8.06,4.29,4.78,0,0,999,sa918629
Julio Teheran,Braves,9,12,4.81,29,29,0,179,187,96,30,150,59,1.37,7.56,2.96,4.78,1.3,1.2,238.6,6797
Tanner Scheppers,,0,0,4.63,0,1,0,1,1,1,0,1,0,1.43,7.56,3.81,4.78,0,0,999,10267
Tsuyoshi Wada,,0,0,4.68,0,0,0,1,1,1,0,1,0,1.35,7.49,2.74,4.78,0,0,999,13046
Jacob Turner,Marlins,5,8,4.81,19,19,0,110,117,59,15,82,47,1.49,6.73,3.85,4.78,0.7,0.5,999,10185
Cesar Vargas,Nationals,0,0,4.71,0,0,0,1,1,1,0,1,0,1.51,7.36,4.38,4.78,0,0,999,14099
Andury Acevedo,Diamondbacks,0,0,4.7,0,1,0,1,1,1,0,1,1,1.53,7.36,4.59,4.78,0,0,999,sa395471
Arturo Reyes,Cardinals,0,0,4.75,0,0,0,1,1,1,0,1,0,1.44,6.55,3.35,4.78,0,0,999,sa739006
Ryan Doolittle,,0,0,4.67,0,1,0,1,1,1,0,1,0,1.43,7.15,3.56,4.78,0,0,999,sa454858
Brent Suter,Brewers,7,8,4.69,21,21,0,116,126,60,19,87,34,1.38,6.73,2.67,4.78,1.1,1,532.5,13942
Blaine Boyer,Royals,0,0,4.78,0,1,0,1,1,1,0,1,0,1.45,6.11,3.26,4.78,0,0,999,2237
Yadier Alvarez,Dodgers,0,0,4.6,0,0,0,1,1,1,0,1,0,1.48,7.63,4.41,4.78,0,0,679.2,sa868984
Tyler Warmoth,Angels,0,0,4.51,0,1,0,1,1,1,0,1,0,1.41,7.65,3.87,4.78,0,0,999,sa919526
Scott Feldman,,0,0,4.91,0,0,0,1,1,1,0,1,0,1.43,6.34,2.88,4.78,0,0,692.6,6283
Heath Bell,,0,0,4.73,0,1,0,1,1,1,0,1,0,1.45,7.06,3.5,4.78,0,0,999,2080
Martin Perez,Rangers,9,10,4.85,28,28,0,164,189,88,21,102,59,1.51,5.61,3.26,4.78,1.5,1.5,648.4,6902
John Lackey,,0,0,4.91,0,0,0,1,1,1,0,1,0,1.36,7.45,2.76,4.78,0,0,476.3,1507
Derek Holland,Giants,3,4,4.62,10,10,0,53,55,27,7,40,22,1.45,6.77,3.7,4.78,0.3,0.3,999,4141
Kevin Comer,Tigers,0,0,4.69,0,1,0,1,1,1,0,1,0,1.45,8.14,4.17,4.79,0,0,999,sa597802
Omar Duran,,0,0,4.5,0,1,0,1,1,1,0,1,1,1.52,7.94,4.89,4.79,0,0,999,sa503579
Thyago Vieira,White Sox,1,1,4.58,0,20,0,20,19,10,3,19,10,1.46,8.57,4.59,4.79,0,0,681.8,14510
Justin Masterson,,0,0,4.67,0,0,0,1,1,1,0,1,1,1.5,7.83,4.54,4.79,0,0,999,2038
Stefan Crichton,Orioles,2,2,4.72,0,35,16,35,37,18,5,28,13,1.43,7.21,3.4,4.79,0,0,999,16058
Reinier Roibal,Phillies,0,0,4.7,0,1,0,1,1,1,0,1,0,1.36,7.98,3.11,4.79,0,0,999,sa553503
Casey Fien,,0,0,4.73,0,1,0,1,1,1,0,1,0,1.34,7.47,2.74,4.79,0,0,999,3926
Tyler Mapes,Nationals,0,0,4.79,0,0,0,1,1,1,0,1,0,1.48,5.49,3.07,4.79,0,0,999,sa603121
Esmerling De La Rosa,Marlins,0,0,4.6,0,1,0,1,1,1,0,1,0,1.43,7.67,4.06,4.79,0,0,999,sa550547
Josh Edgin,,0,0,4.62,0,1,0,1,1,1,0,1,0,1.49,7.71,4.33,4.79,0,0,999,10796
Joel Peralta,,0,0,4.72,0,1,0,1,1,1,0,1,0,1.32,8.32,2.93,4.79,0,0,999,2332
Austin Davis,Phillies,0,0,4.52,0,1,0,1,1,1,0,1,0,1.44,8.54,4.33,4.79,0,0,999,sa829035
Kevin McGowan,Mets,0,0,4.63,0,1,0,1,1,1,0,1,0,1.43,7.63,3.84,4.79,0,0,999,15215
Erik Goeddel,Mariners,0,1,4.7,0,10,0,10,10,5,2,9,4,1.41,8.2,3.81,4.79,0,-0.1,999,11712
Gage Smith,,0,0,4.7,0,1,0,1,1,1,0,1,0,1.43,6.46,3.23,4.79,0,0,999,sa709581
Scott Barnes,,0,0,4.65,0,1,0,1,1,1,0,1,0,1.41,7.61,3.56,4.79,0,0,999,8718
Pat Venditte,Dodgers,0,0,4.49,0,1,0,1,1,0,0,1,0,1.4,8.29,4.16,4.79,0,0,999,7108
Kevin Lenik,Royals,0,0,4.69,0,1,0,1,1,1,0,1,0,1.48,7.68,4.36,4.79,0,0,999,sa919332
Hector Velazquez,Red Sox,1,1,4.81,3,3,0,18,20,10,3,13,6,1.4,6.25,2.82,4.8,0.1,0.1,999,19341
David Garner,Cubs,0,0,4.6,0,1,0,1,1,1,0,1,1,1.51,8.91,5.23,4.8,0,0,999,sa549882
T.J. House,White Sox,0,0,4.54,0,1,0,1,1,1,0,1,0,1.49,7.37,4.2,4.8,0,0,999,9121
Joan Gregorio,Giants,0,0,4.61,0,0,0,1,1,1,0,1,0,1.42,7.97,4.18,4.8,0,0,999,sa547815
Jefferson Olacio,,0,0,4.49,0,1,0,1,1,0,0,1,1,1.56,8.72,5.59,4.8,0,0,999,sa597055
Colin Kleven,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.45,7.1,3.73,4.8,0,0,999,sa502789
Mark Ecker,Tigers,0,0,4.67,0,1,0,1,1,1,0,1,0,1.45,8.19,4.23,4.8,0,0,999,sa918000
Troy Patton,,0,0,4.67,0,1,0,1,1,1,0,1,0,1.44,7.43,3.68,4.8,0,0,999,8368
CC Sabathia,Yankees,9,8,4.7,24,24,0,138,146,72,22,113,49,1.41,7.35,3.16,4.8,1.4,1.3,339,404
Austin McGeorge,Mets,0,0,4.59,0,1,0,1,1,1,0,1,1,1.59,7.96,5.46,4.8,0,0,999,sa918047
Jesse Chavez,Rangers,4,4,4.85,8,33,0,70,75,38,12,59,25,1.42,7.55,3.16,4.8,0.4,0.4,691,5448
Bryce Stowell,,0,0,4.71,0,1,0,1,1,1,0,1,1,1.49,8.46,4.65,4.8,0,0,999,sa455267
Ricky Nolasco,Royals,3,4,4.91,10,10,0,55,61,30,9,40,17,1.4,6.54,2.71,4.8,0.4,0.4,690.1,3830
Mitch Lively,Nationals,0,0,4.75,0,0,0,1,1,1,0,1,0,1.45,6.69,3.41,4.8,0,0,999,sa390254
David Huff,,0,0,4.67,0,0,0,1,1,1,0,1,0,1.41,6.69,3.03,4.8,0,0,999,4257
Daniel Mengden,Athletics,7,9,4.81,23,23,0,132,138,71,20,105,51,1.43,7.15,3.45,4.8,1,0.9,401.1,16980
Kyle Freeland,Rockies,7,8,4.9,21,31,0,127,142,69,18,91,48,1.5,6.43,3.43,4.8,1.3,1.5,565.2,16256
Domingo German,Yankees,2,2,4.7,5,5,0,28,27,14,5,26,11,1.38,8.36,3.55,4.8,0.3,0.2,676.1,17149
Trent Thornton,Astros,0,0,4.8,0,0,0,1,1,1,0,1,0,1.35,6.42,2.32,4.8,0,0,999,sa857695
Ryan Merritt,Indians,4,4,4.63,6,36,0,66,73,34,11,43,16,1.33,5.81,2.11,4.81,0.2,0.4,668.5,13688
Wil Browning,Blue Jays,0,0,4.67,0,1,0,1,1,1,0,1,0,1.46,7.84,4.29,4.81,0,0,999,sa657837
Marcel Prado,,0,0,4.72,0,1,0,1,1,1,0,1,0,1.52,7.33,4.41,4.81,0,0,999,sa455649
Enrique Burgos,Tigers,0,0,4.66,0,1,0,1,1,1,0,1,1,1.51,9.22,5.33,4.81,0,0,999,3895
Dean Kiekhefer,Reds,0,0,4.59,0,1,0,1,1,1,0,1,0,1.44,6.94,3.55,4.81,0,0,999,10529
Ryan Horstman,,0,0,4.51,0,1,0,1,1,1,0,1,1,1.53,8.97,5.48,4.81,0,0,999,sa737780
Tyler Barnette,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.51,6.69,4.07,4.81,0,0,999,sa548463
Luis Santos,Blue Jays,0,0,4.69,0,1,0,1,1,1,0,1,0,1.34,8.22,3.29,4.81,0,0,999,15006
Doug Fister,Rangers,8,10,4.91,26,26,0,150,165,82,22,112,55,1.47,6.76,3.3,4.81,1.4,1.4,554.3,9425
Ryan Helsley,Cardinals,0,0,4.76,0,0,0,1,1,1,0,1,0,1.45,7.46,3.92,4.81,0,0,999,sa874172
Cody Ege,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.47,7.86,4.46,4.81,0,0,999,15928
Brandon Finnegan,Reds,3,4,4.69,11,11,0,62,59,32,10,62,32,1.46,8.9,4.56,4.81,0.5,0.5,443.2,16208
Randy Wolf,,0,0,4.69,0,0,0,1,1,1,0,1,0,1.41,6.78,3.15,4.82,0,0,999,976
Tommy Layne,Red Sox,0,0,4.61,0,1,0,1,1,1,0,1,1,1.56,6.74,4.66,4.82,0,0,999,7501
Edgar Ibarra,,0,0,4.63,0,1,0,1,1,1,0,1,1,1.49,8.1,4.5,4.82,0,0,999,5195
Jared Lakind,,0,0,4.51,0,1,0,1,1,1,0,1,1,1.5,7.58,4.58,4.82,0,0,999,sa549657
Ronald Herrera,Rangers,1,1,4.74,0,15,0,15,16,8,3,12,5,1.37,7.36,2.98,4.82,0,0.1,999,15688
Alex Muren,Twins,0,0,4.74,0,1,0,1,1,1,0,1,0,1.48,6.97,3.82,4.82,0,0,999,sa658181
Landon Beck,Cardinals,0,0,4.67,0,1,0,1,1,1,0,1,0,1.46,7.71,4.19,4.82,0,0,999,sa829390
Josh Zeid,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.44,8.23,4.18,4.82,0,0,999,6527
Roy Merritt,Dodgers,0,0,4.57,0,0,0,1,1,1,0,1,0,1.38,6.15,2.81,4.82,0,0,999,sa392227
Jose Leclerc,Rangers,3,3,4.57,0,65,7,65,55,33,9,75,44,1.52,10.42,6.1,4.82,-0.1,0.2,625.6,14524
Brian Dupra,,0,0,4.75,0,1,0,1,1,1,0,1,0,1.48,7.67,4.14,4.82,0,0,999,sa526184
James Simmons,,0,0,4.83,0,0,0,1,1,1,0,1,0,1.36,7.33,2.82,4.82,0,0,999,sa389395
Slade Smith,,0,0,4.73,0,1,0,1,1,1,0,1,0,1.47,6.94,3.8,4.82,0,0,999,sa658353
Erasmo Ramirez,Mariners,7,8,4.8,23,23,0,126,135,67,21,97,40,1.38,6.93,2.83,4.82,0.9,0.8,473.5,10314
Frank Garces,,0,0,4.65,0,1,0,1,1,1,0,1,0,1.43,7.81,3.85,4.82,0,0,999,13144
Miller Diaz,,0,0,4.66,0,1,0,1,1,1,0,1,1,1.52,7.62,4.69,4.82,0,0,999,sa504858
Kyle Kraus,,0,0,4.77,0,1,0,1,1,1,0,1,0,1.44,6.4,3.2,4.82,0,0,999,sa621633
Bryan Morris,,0,0,4.67,0,1,0,1,1,1,0,1,0,1.52,6.57,4.07,4.82,0,0,999,10234
Ben Meyer,Marlins,0,0,4.66,0,0,0,1,1,1,0,1,0,1.45,7.02,3.88,4.82,0,0,999,sa827392
Josh Tomlin,Indians,7,7,4.84,19,19,0,111,125,59,21,79,18,1.29,6.41,1.45,4.82,0.9,1,444.2,9388
Eric Peterson,,0,0,4.74,0,1,0,1,1,1,0,1,0,1.41,7.58,3.48,4.83,0,0,999,sa829747
David Holman,Rockies,0,0,4.93,0,1,0,1,1,1,0,1,0,1.51,8.06,4.28,4.83,0,0,999,sa503702
John Werner,,0,0,4.75,0,1,0,1,1,1,0,1,0,1.45,8.26,4.2,4.83,0,0,999,sa876078
Michael Blazek,Diamondbacks,0,0,4.82,0,1,0,1,1,1,0,1,0,1.47,7.29,3.82,4.83,0,0,999,9654
Ryan Beckman,,0,0,4.71,0,1,0,1,1,1,0,1,1,1.52,7.49,4.57,4.83,0,0,999,sa501977
Wilfredo Boscan,,0,0,4.76,0,1,0,1,1,1,0,1,0,1.43,5.81,2.84,4.83,0,0,999,7655
David Martinez,,0,0,4.68,0,1,0,1,1,1,0,1,0,1.36,7.08,2.99,4.83,0,0,999,8893
Manny Delcarmen,,0,0,4.73,0,1,0,1,1,1,0,1,0,1.48,7.5,4.12,4.83,0,0,999,3180
James Norwood,Cubs,0,0,4.67,0,1,0,1,1,1,0,1,1,1.48,8.1,4.59,4.83,0,0,999,sa829116
Mayckol Guaipe,,0,0,4.75,0,1,0,1,1,1,0,1,0,1.45,7.42,3.77,4.83,0,0,999,11663
Marco Gonzales,Mariners,5,6,4.65,16,16,0,88,91,45,14,70,31,1.38,7.13,3.14,4.83,0.6,0.7,557.1,15467
Chris Heston,Giants,0,0,4.69,0,1,0,1,1,1,0,1,0,1.48,6.14,3.76,4.83,0,0,999,10302
Jacob Nix,Padres,0,0,4.74,0,0,0,1,1,1,0,1,0,1.4,6.25,2.9,4.83,0,0,999,sa828958
Blake Perry,,0,0,4.68,0,1,0,1,1,1,0,1,0,1.47,8.24,4.49,4.83,0,0,999,sa548326
Jason Jester,Padres,0,0,4.73,0,1,0,1,1,1,0,1,0,1.44,7.28,3.68,4.83,0,0,999,sa738439
Pat Urckfitz,,0,0,4.64,0,1,0,1,1,1,0,1,0,1.48,7.53,4.15,4.83,0,0,999,sa457153
Kevin Quackenbush,Reds,0,0,4.79,0,1,0,1,1,1,0,1,0,1.44,7.85,3.81,4.83,0,0,999,12360
Joe Nathan,,0,0,4.77,0,1,0,1,1,1,0,1,0,1.44,8.15,4.13,4.83,0,0,999,1122
Ross Ohlendorf,,0,0,4.78,0,1,0,1,1,1,0,1,0,1.42,8.49,3.96,4.83,0,0,999,8268
Miguel Mejia,Cubs,0,0,4.71,0,1,0,1,1,1,0,1,0,1.44,7.53,3.85,4.84,0,0,999,sa514279
Jacob Dorris,Astros,0,0,4.67,0,1,0,1,1,1,0,1,0,1.43,8.53,4.25,4.84,0,0,999,sa827396
Juan Minaya,White Sox,3,3,4.72,0,65,26,65,63,34,10,62,29,1.42,8.52,4.08,4.84,-0.1,-0.1,358.8,10341
Carlos Frias,Indians,0,0,4.71,0,1,0,1,1,1,0,1,0,1.46,6.66,3.59,4.84,0,0,999,3547
Victor Araujo,,0,0,4.75,0,1,0,1,1,1,0,1,0,1.47,7.78,4.15,4.84,0,0,999,sa548099
Rafael Betancourt,,0,0,4.87,0,1,0,1,1,1,0,1,0,1.37,7.94,3.18,4.84,0,0,999,177
Kyle Hansen,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.48,7.5,4.26,4.84,0,0,999,sa503395
P.J. Conlon,Mets,0,0,4.64,0,0,0,1,1,1,0,1,0,1.4,6.84,3.17,4.84,0,0,999,sa857544
Daniel Norris,Tigers,6,8,4.8,21,21,0,116,118,62,18,98,51,1.46,7.62,3.94,4.84,1,1.1,463.3,13475
Scott Sitz,,0,0,4.77,0,1,0,1,1,1,0,1,0,1.42,7.51,3.54,4.84,0,0,999,sa738412
Andy Ferguson,Red Sox,0,0,4.88,0,0,0,1,1,1,0,1,0,1.36,7.5,2.99,4.84,0,0,999,sa598931
Ryan Chaffee,,0,0,4.73,0,1,0,1,1,1,0,1,0,1.51,7.58,4.47,4.84,0,0,999,sa454506
Seth Simmons,Padres,0,0,4.74,0,0,0,1,1,1,0,1,0,1.39,7.94,3.58,4.84,0,0,999,sa598797
Casey McCarthy,Marlins,0,0,4.74,0,1,0,1,1,1,0,1,0,1.47,6.91,3.92,4.84,0,0,999,sa658656
Jeff Walters,Rays,0,0,4.64,0,1,0,1,1,1,0,1,0,1.43,7.39,3.83,4.84,0,0,999,sa328221
Pedro Villarreal,Reds,0,0,4.75,0,1,0,1,1,1,0,1,0,1.41,7.17,3.25,4.84,0,0,999,9904
Kolby Allard,Braves,0,0,4.71,0,0,0,1,1,1,0,1,0,1.43,7.18,3.53,4.84,0,0,669.8,sa874245
Joe Shaw,Mets,0,0,4.78,0,0,0,1,1,1,0,1,0,1.49,6.54,3.85,4.84,0,0,999,sa658941
Tyler Knigge,,0,0,4.72,0,1,0,1,1,1,0,1,0,1.48,7.62,4.24,4.84,0,0,999,sa549105
Jackson Zarubin,Angels,0,0,4.55,0,1,0,1,1,1,0,1,0,1.44,6.85,3.78,4.84,0,0,999,sa920248
Aaron Northcraft,,0,0,4.78,0,0,0,1,1,1,0,1,0,1.49,6.73,3.85,4.84,0,0,999,sa501597
Tim Hudson,,0,0,4.91,0,0,0,1,1,1,0,1,0,1.45,5.28,2.5,4.84,0,0,999,921
Adalberto Mejia,Twins,2,2,4.79,6,6,0,35,36,18,6,28,13,1.41,7.35,3.33,4.84,0.3,0.3,577,13188
Sam Gaviglio,Royals,0,0,4.92,0,0,0,1,1,1,0,1,0,1.43,5.75,2.79,4.84,0,0,715,12778
Christian Friedrich,Padres,0,0,4.7,0,0,0,1,1,1,0,1,0,1.46,6.82,3.69,4.84,0,0,999,7942
Chris Withrow,,0,0,4.76,0,1,0,1,1,1,0,1,1,1.48,8.37,4.52,4.85,0,0,999,7161
Tim Cooney,,0,0,4.7,0,0,0,1,1,1,0,1,0,1.36,7.47,3.01,4.85,0,0,999,13762
Tyler Pill,Diamondbacks,0,0,4.86,0,0,0,1,1,1,0,1,0,1.43,6.22,3.01,4.85,0,0,999,12751
Tom Windle,Phillies,0,0,4.52,0,1,0,1,1,1,0,1,1,1.5,7.87,4.63,4.85,0,0,999,sa549785
Clay Buchholz,Royals,0,1,4.86,2,2,0,9,10,5,1,6,3,1.43,6.35,3.12,4.85,0.1,0.1,999,3543
Luis Mateo,,0,0,4.75,0,1,0,1,1,1,0,1,0,1.48,7.21,4.02,4.85,0,0,999,sa597557
Ian Hamilton,White Sox,0,0,4.71,0,1,0,1,1,1,0,1,0,1.46,7.9,4.1,4.85,0,0,999,sa874145
Connor Jones,Cardinals,0,0,4.79,0,0,0,1,1,1,0,1,0,1.61,5.5,4.44,4.85,0,0,999,sa738697
Jason Hammel,Royals,8,11,5,28,28,0,158,170,88,27,122,46,1.37,6.99,2.62,4.85,1,1.2,526.5,4538
Andrew Bailey,,0,0,4.78,0,1,0,1,1,1,0,1,0,1.41,7.85,3.57,4.85,0,0,709,1368
Travis Hissong,,0,0,4.71,0,1,0,1,1,1,0,1,0,1.44,8.06,4.15,4.85,0,0,999,sa830119
Cal Quantrill,Padres,0,0,4.76,0,0,0,1,1,1,0,1,0,1.44,7.12,3.63,4.85,0,0,999,sa738477
Buck Farmer,Tigers,4,5,4.78,10,40,0,82,85,44,14,68,28,1.37,7.47,3.11,4.85,0.4,0.4,678.4,14814
Homer Bailey,Reds,7,10,4.82,24,24,0,138,146,74,21,108,51,1.43,7.02,3.34,4.85,1.1,0.9,516.6,8362
Trevor Kelley,Red Sox,0,0,4.8,0,1,0,1,1,1,0,1,0,1.44,6.99,3.61,4.85,0,0,999,sa827465
A.J. Cole,Nationals,4,4,4.79,11,11,0,63,65,34,10,54,25,1.42,7.6,3.61,4.85,0.4,0.4,542.5,11467
Tyler Ihrig,,0,0,4.67,0,1,0,1,1,1,0,1,0,1.46,6.82,3.69,4.85,0,0,999,sa738252
Raudel Lazo,,0,0,4.67,0,1,0,1,1,1,0,1,0,1.44,7.17,3.65,4.85,0,0,999,14077
Carlos Villanueva,,0,0,4.83,0,1,0,1,1,1,0,1,0,1.39,7.01,2.94,4.85,0,0,999,4138
Dailyn Martinez,Cardinals,0,0,4.78,0,1,0,1,1,1,0,1,0,1.5,6.28,3.76,4.85,0,0,999,sa658075
Cionel Perez,Astros,0,0,4.67,0,10,0,10,10,5,2,8,4,1.44,7.47,3.76,4.86,0,-0.1,999,sa954181
John Walter,Cardinals,0,0,4.9,0,0,0,1,1,1,0,1,0,1.48,6.2,3.43,4.86,0,0,999,sa658678
Mike Dunn,Rockies,2,2,4.88,0,45,0,45,44,24,7,45,21,1.46,8.91,4.22,4.86,0,0.2,696.3,9948
Stolmy Pimentel,,0,0,4.73,0,1,0,1,1,1,0,1,0,1.45,7.56,3.97,4.86,0,0,999,6415
Sam LeCure,,0,0,4.77,0,1,0,1,1,1,0,1,0,1.44,7.04,3.54,4.86,0,0,999,4664
Thomas Lee,,0,0,4.79,0,1,0,1,1,1,0,1,0,1.4,6.5,2.89,4.86,0,0,999,sa659442
Craig Brooks,Cubs,0,0,4.62,0,1,0,1,1,1,0,1,1,1.52,9.73,5.79,4.86,0,0,999,sa875197
Zach Petrick,,0,0,4.85,0,0,0,1,1,1,0,1,0,1.37,6.54,2.53,4.86,0,0,999,sa659444
Sean Stutzman,Astros,0,0,4.67,0,1,0,1,1,1,0,1,0,1.47,7.99,4.26,4.86,0,0,999,sa920319
Matt Marsh,,0,0,4.71,0,1,0,1,1,1,0,1,0,1.45,8,4.14,4.86,0,0,999,sa830228
Seth Rosin,,0,0,4.81,0,1,0,1,1,1,0,1,0,1.44,7.02,3.46,4.86,0,0,999,10606
Sam Runion,,0,0,4.74,0,1,0,1,1,1,0,1,0,1.43,7.34,3.67,4.86,0,0,999,sa390308
Clario Perez,,0,0,4.72,0,1,0,1,1,1,0,1,0,1.46,7.41,4,4.86,0,0,999,sa507214
Angel Nesbitt,,0,0,4.76,0,1,0,1,1,1,0,1,0,1.48,7.53,4.17,4.86,0,0,999,13415
Cody Schumacher,Cardinals,0,0,4.77,0,1,0,1,1,1,0,1,0,1.45,7.21,3.74,4.86,0,0,999,sa829745
Matt Reynolds,,0,0,4.61,0,1,0,1,1,1,0,1,0,1.41,7.53,3.62,4.86,0,0,999,8887
Jason Marquis,,0,0,4.94,0,0,0,1,1,1,0,1,0,1.42,6.28,2.67,4.86,0,0,999,105
Trevor Miller,,0,0,4.8,0,1,0,1,1,1,0,1,0,1.47,6.99,3.78,4.86,0,0,999,sa599519
Ismael Guillon,Nationals,0,0,4.6,0,1,0,1,1,1,0,1,1,1.5,8.93,5.13,4.86,0,0,999,sa550236
Kyle Finnegan,Athletics,0,0,4.78,0,1,0,1,1,1,0,1,0,1.51,7.16,4.29,4.86,0,0,999,sa708446
Tyson Perez,,0,0,4.75,0,1,0,1,1,1,0,1,0,1.43,6.8,3.36,4.86,0,0,999,sa598434
Kyle Davies,,0,0,4.81,0,1,0,1,1,1,0,1,0,1.38,6.87,2.85,4.86,0,0,999,3642
James Naile,Athletics,0,0,4.94,0,0,0,1,1,1,0,1,0,1.49,5.62,3.25,4.86,0,0,999,sa875263
Collin Balester,,0,0,4.82,0,1,0,1,1,1,0,1,0,1.41,7.58,3.48,4.87,0,0,999,6883
Evan Beal,Marlins,0,0,4.67,0,1,0,1,1,1,0,1,1,1.51,7.48,4.7,4.87,0,0,999,sa598103
Jose Rosario,,0,0,4.76,0,1,0,1,1,1,0,1,0,1.5,7.43,4.33,4.87,0,0,999,sa506730
Tyler Waldron,,0,0,4.85,0,1,0,1,1,1,0,1,0,1.42,6.49,2.94,4.87,0,0,999,sa545242
Jordan Pries,Cubs,0,0,4.75,0,0,0,1,1,1,0,1,0,1.41,7.02,3.39,4.87,0,0,999,sa577935
Chad Sobotka,Braves,0,0,4.77,0,1,0,1,1,1,0,1,1,1.56,7.68,4.95,4.87,0,0,999,sa827407
Sandy Alcantara,Marlins,6,9,4.69,21,31,0,134,132,70,17,114,71,1.51,7.62,4.75,4.87,0.6,0.6,544.5,18684
Ramon Benjamin,,0,0,4.6,0,1,0,1,1,1,0,1,0,1.49,7.3,4.34,4.87,0,0,999,sa393218
Cesar Jimenez,Brewers,0,0,4.73,0,1,0,1,1,1,0,1,0,1.46,7.37,3.8,4.87,0,0,999,3762
Andres Santiago,Braves,0,0,4.87,0,1,0,1,1,1,0,1,0,1.49,6.85,3.79,4.87,0,0,999,sa389212
Steven Wright,Red Sox,7,7,4.9,19,19,0,113,121,61,17,83,39,1.42,6.65,3.13,4.87,0.7,1,644.6,8185
Bobby LaFromboise,,0,0,4.65,0,1,0,1,1,1,0,1,0,1.47,7.18,3.98,4.87,0,0,999,7758
Pedro Rodriguez,,0,0,4.77,0,1,0,1,1,1,0,1,0,1.45,6.76,3.5,4.87,0,0,999,sa528296
Brian Matusz,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.41,7.91,3.75,4.87,0,0,999,2646
Mike Morin,Mariners,0,0,4.67,0,1,0,1,1,1,0,1,0,1.37,6.97,2.96,4.87,0,0,999,13442
Mark Buehrle,,0,0,4.74,0,0,0,1,1,1,0,1,0,1.41,5.07,2.29,4.87,0,0,999,225
Kyle Bird,Rays,0,0,4.51,0,1,0,1,1,1,0,1,0,1.45,7.4,4.19,4.87,0,0,999,sa829691
Alex Balog,,0,0,4.78,0,1,0,1,1,1,0,1,0,1.42,6.93,3.33,4.87,0,0,999,sa737622
Travis Ballew,,0,0,4.7,0,1,0,1,1,1,0,1,1,1.53,7.21,4.58,4.87,0,0,999,sa658550
Ryan Dennick,,0,0,4.69,0,1,0,1,1,1,0,1,0,1.47,6.76,3.73,4.87,0,0,999,9261
Matt West,Tigers,0,0,4.84,0,1,0,1,1,1,0,1,0,1.42,7.4,3.44,4.87,0,0,999,7980
Trevor Bayless,,0,0,4.76,0,1,0,1,1,1,0,1,0,1.48,7.83,4.36,4.87,0,0,999,sa579648
Tyler Ybarra,Rockies,0,0,4.84,0,1,0,1,1,1,0,1,1,1.55,8.16,4.84,4.88,0,0,999,sa503961
Iden Nazario,,0,0,4.67,0,1,0,1,1,1,0,1,0,1.47,7.98,4.35,4.88,0,0,999,sa545221
Angel Castro,,0,0,4.72,0,1,0,1,1,1,0,1,0,1.44,6.26,3.34,4.88,0,0,999,3243
Ryan McNeil,Cubs,0,0,4.66,0,1,0,1,1,1,0,1,1,1.49,8.55,4.96,4.88,0,0,999,sa657941
Corey Copping,Dodgers,0,0,4.67,0,1,0,1,1,1,0,1,0,1.47,8.07,4.48,4.88,0,0,999,sa875831
Jhonathan Ramos,,0,0,4.8,0,0,0,1,1,1,0,1,0,1.44,6.5,3.2,4.88,0,0,999,sa504204
Tommy Shirley,,0,0,4.7,0,0,0,1,1,1,0,1,0,1.46,6.5,3.54,4.88,0,0,999,sa548448
Ryan O'Sullivan,,0,0,4.8,0,1,0,1,1,1,0,1,0,1.48,7.12,3.91,4.88,0,0,999,sa455098
Matt Wotherspoon,Orioles,0,0,4.77,0,1,0,1,1,1,0,1,0,1.44,8.27,4.04,4.88,0,0,999,sa738548
Andrew Barbosa,,0,0,4.64,0,1,0,1,1,1,0,1,0,1.4,8.21,3.86,4.88,0,0,999,sa327830
Jesus Reyes,Reds,0,0,4.74,0,0,0,1,1,1,0,1,0,1.54,6.46,4.33,4.88,0,0,999,sa877345
David Carpenter,,0,0,4.82,0,1,0,1,1,1,0,1,0,1.45,7.69,3.93,4.88,0,0,999,9244
Connor Sadzeck,Rangers,1,1,4.84,2,12,0,19,19,10,3,17,9,1.49,7.88,4.36,4.88,0.1,0.1,999,sa550247
Tyler Brunnemann,,0,0,4.78,0,1,0,1,1,1,0,1,0,1.45,8.24,4.24,4.88,0,0,999,sa738966
Roenis Elias,Red Sox,4,4,4.7,5,45,0,68,69,35,10,55,26,1.41,7.28,3.52,4.88,0,0.3,999,12673
