Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Dustin Hurlbutt,Athletics,0,0,5.46,0,0,0,1,1,1,0,1,0,1.54,6.01,4,5.49,0,0,999,sa875683
Sam Held,Nationals,0,0,5.28,0,1,0,1,1,1,0,1,1,1.72,6.01,5.65,5.49,0,0,999,sa918665
Carlos Hiraldo,Astros,0,0,5.36,0,0,0,1,1,1,0,1,1,1.61,6.31,4.69,5.49,0,0,999,sa828141
Irwin Delgado,,0,0,5.28,0,0,0,1,1,1,0,1,1,1.64,5.43,4.71,5.49,0,0,999,sa508063
Jason Lane,Brewers,0,0,5.51,0,1,0,1,1,1,0,1,0,1.51,5.31,2.9,5.5,0,0,999,1397
Briam Campusano,Mets,0,0,5.41,0,0,0,1,1,1,0,1,0,1.6,6.09,4.48,5.5,0,0,999,sa917756
Roy Corcoran,,0,0,5.38,0,1,0,1,1,1,0,1,1,1.66,6.22,5.11,5.5,0,0,999,1780
Matt Foster,White Sox,0,0,5.3,0,1,0,1,1,1,0,1,1,1.63,7.34,5.42,5.5,0,0,999,sa738581
Sam Clay,Twins,0,0,5.16,0,1,0,1,1,1,0,1,1,1.71,7.27,6.28,5.5,0,0,999,sa828815
Jorge Ortega,Brewers,0,0,5.55,0,0,0,1,1,1,0,1,0,1.43,5.52,2.26,5.5,0,0,999,sa597019
Derrick Loop,,0,0,5.24,0,1,0,1,1,1,0,1,1,1.64,6.17,5.03,5.5,0,0,999,sa328208
Alberto Castillo,,0,0,5.39,0,0,0,1,1,1,0,1,0,1.55,5.74,3.82,5.5,0,0,999,3316
Tommy Hanson,,0,0,5.53,0,0,0,1,1,1,0,1,0,1.5,6.7,3.74,5.5,0,0,999,9129
Harrison Musgrave,Rockies,0,0,5.54,0,0,0,1,1,1,0,1,0,1.54,6.53,3.76,5.5,0,0,999,sa738519
Brennan Smith,,0,0,5.47,0,0,0,1,1,1,0,1,0,1.51,6.22,3.59,5.5,0,0,999,sa549585
Thomas Jankins,Brewers,0,0,5.56,0,0,0,1,1,1,0,1,0,1.63,5.48,4.19,5.5,0,0,999,sa873276
Ryan Ledbetter,Rangers,0,0,5.45,0,1,0,1,1,1,0,1,1,1.6,7.42,4.95,5.5,0,0,999,sa738340
Jimmy Yacabonis,Orioles,0,1,5.37,0,10,0,10,11,6,2,8,5,1.61,7.04,4.9,5.5,-0.1,0,999,15157
T.J. Zeuch,Blue Jays,0,0,5.49,0,0,0,1,1,1,0,1,0,1.61,5.18,4.14,5.5,0,0,999,sa738498
Joe Pistorese,Mariners,0,0,5.19,0,1,0,1,1,1,0,1,1,1.59,6.98,5.04,5.5,0,0,999,sa602696
Jesus Liranzo,Orioles,0,1,5.29,0,10,0,10,10,6,2,10,6,1.57,8.82,5.5,5.5,-0.1,0,999,sa658076
Alsis Herrera,Indians,0,0,5.2,0,1,0,1,1,1,0,1,1,1.58,6.47,4.71,5.5,0,0,999,sa945470
Francisco Rios,Blue Jays,0,0,5.52,0,0,0,1,1,1,0,1,0,1.55,5.91,3.9,5.51,0,0,999,sa736833
Raul Barron,,0,0,5.34,0,1,0,1,1,1,0,1,0,1.62,5.31,4.42,5.51,0,0,999,sa328471
James Campbell,Dodgers,0,0,5.28,0,1,0,1,1,1,0,1,1,1.61,6.28,4.86,5.51,0,0,999,sa658193
Kevin Correia,,0,0,5.6,0,0,0,1,1,1,0,1,0,1.53,4.91,2.94,5.51,0,0,999,1767
Jarett Miller,,0,0,5.47,0,0,0,1,1,1,0,1,1,1.59,6.85,4.7,5.51,0,0,999,sa599218
Ben Sheckler,Padres,0,0,5.23,0,0,0,1,1,1,0,1,1,1.7,5.61,5.41,5.51,0,0,999,sa918099
Dalton Sawyer,Athletics,0,0,5.38,0,0,0,1,1,1,0,1,0,1.55,6.56,4.33,5.51,0,0,999,sa875849
Kodi Medeiros,Braves,0,0,5.32,0,0,0,1,1,1,0,1,1,1.71,6.2,5.64,5.51,0,0,999,sa828664
Brandon Miller,Marlins,0,0,5.46,0,0,0,1,1,1,0,1,0,1.58,5.34,4.07,5.51,0,0,999,sa873281
Darin Gillies,Mariners,0,0,5.27,0,1,0,1,1,1,0,1,0,1.51,7.23,4.36,5.51,0,0,999,sa875269
Tom Hackimer,Twins,0,0,5.34,0,1,0,1,1,1,0,1,1,1.69,6.78,5.69,5.51,0,0,999,sa872726
Sean O'Sullivan,,0,0,5.51,0,0,0,1,1,1,0,1,0,1.49,5.89,3.27,5.51,0,0,999,9137
J.D. Underwood,Dodgers,0,0,5.25,0,1,0,1,1,1,0,1,1,1.63,6.34,5.09,5.51,0,0,999,sa738317
Josh Rogers,Yankees,0,0,5.29,0,0,0,1,1,1,0,1,0,1.42,6.3,2.8,5.51,0,0,999,sa856202
Tony Pena,,0,0,5.36,0,1,0,1,1,1,0,1,0,1.57,5.93,4.26,5.51,0,0,999,2240
Cody Dickson,Pirates,0,0,5.42,0,0,0,1,1,1,0,1,1,1.71,6.89,5.83,5.51,0,0,999,sa737782
Yeison Medina,Cardinals,0,0,5.29,0,1,0,1,1,1,0,1,1,1.73,7.09,6.3,5.51,0,0,999,sa736868
Jose Almonte,Diamondbacks,0,0,5.47,0,0,0,1,1,1,0,1,1,1.65,7.01,5.45,5.51,0,0,999,sa737055
Jon Olczak,Brewers,0,0,5.47,0,1,0,1,1,1,0,1,1,1.62,7.53,5.15,5.52,0,0,999,sa875297
Darin Gorski,,0,0,5.24,0,0,0,1,1,1,0,1,0,1.5,6.75,4.05,5.52,0,0,999,sa501520
Matt Harrison,,0,0,5.42,0,0,0,1,1,1,0,1,0,1.57,5.45,3.76,5.52,0,0,999,5551
Ramon Santos,Cardinals,0,0,5.45,0,1,0,1,1,1,0,1,1,1.69,5.45,5.01,5.52,0,0,999,sa657843
Beau Burrows,Tigers,0,0,5.49,0,0,0,1,1,1,0,1,0,1.52,6.53,3.9,5.52,0,0,999,sa874682
James Marvel,Pirates,0,0,5.67,0,0,0,1,1,1,0,1,0,1.67,5.03,4.29,5.52,0,0,999,sa659052
Jorge Marban,,0,0,5.33,0,1,0,1,1,1,0,1,1,1.56,7.22,4.81,5.52,0,0,999,sa559797
Heri Quevedo,,0,0,5.46,0,0,0,1,1,1,0,1,1,1.57,6.86,4.51,5.52,0,0,999,sa731180
Trevor Seidenberger,,0,0,5.28,0,1,0,1,1,1,0,1,1,1.62,7.21,5.3,5.52,0,0,999,sa738571
Wyatt Strahan,Reds,0,0,5.43,0,0,0,1,1,1,0,1,0,1.57,5.7,4.03,5.52,0,0,999,sa599334
Justus Sheffield,Yankees,0,0,5.29,0,0,0,1,1,1,0,1,0,1.53,6.78,4.15,5.52,0,0,659.7,sa828678
Conner Greene,Cardinals,0,1,5.38,2,2,0,9,10,6,1,6,5,1.65,5.75,5.01,5.52,0,0,999,sa737829
Josh Michalec,,0,0,5.34,0,1,0,1,1,1,0,1,1,1.71,6.32,5.74,5.52,0,0,999,sa829266
Miguel Gonzalez,White Sox,7,12,5.54,28,28,0,163,185,100,32,111,55,1.47,6.12,3.06,5.52,0.3,0,664.3,7024
Jeremy Walker,Braves,0,0,5.56,0,0,0,1,1,1,0,1,0,1.61,4.91,3.9,5.52,0,0,999,sa917990
Todd Van Steensel,Twins,0,0,5.34,0,1,0,1,1,1,0,1,1,1.54,7.56,4.77,5.52,0,0,999,sa505234
Jeff Ibarra,,0,0,5.2,0,1,0,1,1,1,0,1,1,1.66,6.22,5.37,5.52,0,0,999,sa502106
